{name: 'yago', z3: 1, souffle: 1, runtime: 0.6056771278381348, setting_delta: 1}
{name: 'yago', z3: 1, souffle: 1, runtime: 0.6059112548828125, setting_delta: 1}
{name: 'yago', z3: 1, souffle: 1, runtime: 0.36479997634887695, setting_delta: 1}
{name: 'yago', z3: 1, souffle: 1, runtime: 0.3650360107421875, setting_delta: 1}
{name: 'yago', z3: 1, souffle: 1, runtime: 0.2735016345977783, setting_delta: 1}
{name: 'yago', z3: 1, souffle: 1, runtime: 0.36570215225219727, setting_delta: 1}
{name: 'yago', z3: 1, souffle: 1, runtime: 0.3501317501068115, setting_delta: 1}
{name: 'yago', z3: 1, souffle: 1, runtime: 0.38184475898742676, setting_delta: 1}
{name: 'yago', z3: 1, souffle: 1, runtime: 0.32848024368286133, setting_delta: 1}
{name: 'yago', z3: 1, souffle: 1, runtime: 0.36896634101867676, setting_delta: 1}
{name: 'yago', z3: 1, souffle: 1, runtime: 0.46758437156677246, setting_delta: 1}
{name: 'yago', z3: 1, souffle: 1, runtime: 0.4678347110748291, setting_delta: 1}
{name: 'yago', z3: 1, souffle: 1, runtime: 0.3434455394744873, setting_delta: 1}
{name: 'yago', z3: 1, souffle: 1, runtime: 0.3436884880065918, setting_delta: 1}
{name: 'yago', z3: 1, souffle: 1, runtime: 0.31347131729125977, setting_delta: 1}
{name: 'yago', z3: 1, souffle: 1, runtime: 0.3137168884277344, setting_delta: 1}
{name: 'yago', z3: 1, souffle: 1, runtime: 0.44434094429016113, setting_delta: 1}
{name: 'yago', z3: 1, souffle: 1, runtime: 0.44458937644958496, setting_delta: 1}
{name: 'films', z3: 1, souffle: 1, runtime: 145.02736926078796, setting_delta: 1}
{name: 'films', z3: 1, souffle: 1, runtime: 144.34798097610474, setting_delta: 1}
{name: 'films', z3: 1, souffle: 1, runtime: 144.54519391059875, setting_delta: 1}
{name: 'films', z3: 1, souffle: 1, runtime: 145.79386973381042, setting_delta: 1}
{name: 'films', z3: 1, souffle: 1, runtime: 146.02666068077087, setting_delta: 1}
{name: 'films', z3: 1, souffle: 1, runtime: 208.3232011795044, setting_delta: 1}
{name: 'films', z3: 1, souffle: 1, runtime: 208.4958667755127, setting_delta: 1}
{name: 'countries', z3: 7, souffle: 7, runtime: 3918.9149391651154, setting_delta: 1}
{name: 'countries', z3: 12, souffle: 12, runtime: 3820.5584831237793, setting_delta: 1}
{name: 'countries', z3: 11, souffle: 11, runtime: 3747.2661554813385, setting_delta: 1}
{name: 'countries', z3: 1, souffle: 1, runtime: 314.53109431266785, setting_delta: 1}
{name: 'countries', z3: 1, souffle: 1, runtime: 340.0418794155121, setting_delta: 1}
{name: 'countries', z3: 1, souffle: 1, runtime: 321.63280868530273, setting_delta: 1}
{name: 'countries', z3: 1, souffle: 1, runtime: 346.18463110923767, setting_delta: 1}
{name: 'countries', z3: 1, souffle: 1, runtime: 291.46506214141846, setting_delta: 1}
{name: 'films', z3: 1, souffle: 1, runtime: 167.15755701065063, setting_delta: 1}
{name: 'films', z3: 1, souffle: 1, runtime: 167.20463705062866, setting_delta: 1}
{name: 'films', z3: 1, souffle: 1, runtime: 167.4056887626648, setting_delta: 1}
{name: 'films', z3: 1, souffle: 1, runtime: 151.6308343410492, setting_delta: 1}
{name: 'films', z3: 1, souffle: 1, runtime: 152.01549625396729, setting_delta: 1}
{name: 'locations', z3: 1, souffle: 1, runtime: 63.38299894332886, setting_delta: 1}
{name: 'locations', z3: 1, souffle: 1, runtime: 70.92782735824585, setting_delta: 1}
{name: 'countries', z3: 1, souffle: 1, runtime: 307.03063559532166, setting_delta: 1}
{name: 'countries', z3: 1, souffle: 1, runtime: 321.3416061401367, setting_delta: 1}
{name: 'countries', z3: 1, souffle: 1, runtime: 326.8542106151581, setting_delta: 1}
{name: 'countries', z3: 1, souffle: 1, runtime: 363.92225098609924, setting_delta: 1}
{name: 'countries', z3: 1, souffle: 1, runtime: 294.47751808166504, setting_delta: 1}
{name: 'family', z3: 1, souffle: 1, runtime: 78.4556975364685, setting_delta: 1}
{name: 'family', z3: 1, souffle: 1, runtime: 70.90899705886841, setting_delta: 1}
{name: 'countriesneg', z3: 12, souffle: 12, runtime: 3839.6605920791626, setting_delta: 1}
{name: 'countriesneg', z3: 11, souffle: 11, runtime: 3611.551470518112, setting_delta: 1}
{name: 'familyneg', z3: 1, souffle: 1, runtime: 78.51434397697449, setting_delta: 1}
{name: 'familyneg', z3: 1, souffle: 1, runtime: 71.14816498756409, setting_delta: 1}
{name: 'locationsneg', z3: 45, souffle: 75, runtime: 3623.3676607608795, setting_delta: 1}
{name: 'locationsneg', z3: 51, souffle: 51, runtime: 3625.9665870666504, setting_delta: 1}
{name: 'countriesneg2', z3: 12, souffle: 12, runtime: 3701.4421994686127, setting_delta: 1}
{name: 'countriesneg2', z3: 12, souffle: 12, runtime: 3855.212261915207, setting_delta: 1}
{name: 'countriesneg2', z3: 11, souffle: 11, runtime: 3609.9525196552277, setting_delta: 1}
{name: 'countriesneg2', z3: 10, souffle: 10, runtime: 3662.8305196762085, setting_delta: 1}
{name: 'countriesneg2', z3: 13, souffle: 13, runtime: 3847.9676897525787, setting_delta: 1}
{name: 'filmsneg', z3: 1, souffle: 1, runtime: 167.64572525024414, setting_delta: 1}
{name: 'filmsneg', z3: 1, souffle: 1, runtime: 168.03167462348938, setting_delta: 1}
{name: 'filmsneg', z3: 1, souffle: 1, runtime: 168.56940078735352, setting_delta: 1}
{name: 'filmsneg', z3: 1, souffle: 1, runtime: 152.61513447761536, setting_delta: 1}
{name: 'filmsneg', z3: 1, souffle: 1, runtime: 153.09472107887268, setting_delta: 1}
